1/13/2019,ОЛАНТ,1739.87
2/6/2019,BAUSCH Health,2553.54
2/11/2019,Alpha bank,15453.16
2/13/2019,Hamleys,3288.91
2/17/2019,MODIS,102.46
2/18/2019,Tinkoff,21647.75
2/18/2019,ОЛАНТ,991.32
2/24/2019,VTB,141135.42
3/2/2019,Panasonic,2646.22
3/2/2019,OLDI,1063.64
3/4/2019,OLDI,479.78
3/5/2019,VTB,122996.77
3/8/2019,АСНА,4509.38
3/18/2019,JULL,571.09
3/18/2019,BAUSCH Health,1523.28
3/18/2019,АСНА,3855.27
3/20/2019,ОЛАНТ,2542.07
3/20/2019,ОРМАТЕК,478.85
4/2/2019,Alpha bank,38841.43
4/4/2019,GOLDPRICE,3943.66
4/8/2019,GOLDPRICE,1337.13
4/10/2019,Будь здоров!,1111.28
4/14/2019,Петрович,4723.43
4/17/2019,ELIS,1144.64
4/19/2019,MODIS,4081.28
4/20/2019,АСНА,4376.52
4/21/2019,Будь здоров!,4579.57
4/27/2019,VTB,138897.97
4/27/2019,Основа движения,843.93
5/4/2019,BAUSCH Health,311.02
5/15/2019,ОЛАНТ,177.47
5/26/2019,АСНА,4868.44
5/27/2019,Accu-Check,710.16
6/7/2019,Burger King,2520.57
6/10/2019,Связной,3270.45
6/22/2019,MODIS,2908.19
7/1/2019,Independent Media,3449.24
7/4/2019,Accu-Check,2997.20
7/26/2019,Связной,1170.61
7/31/2019,Петрович,644.92
7/31/2019,Sberbank,67246.23
8/1/2019,Tinkoff,30938.96
8/10/2019,АСНА,3743.78
8/14/2019,Accu-Check,4582.21
8/20/2019,ELIS,3857.86
8/22/2019,MIXIT,1979.25
8/27/2019,Будь здоров!,215.44
8/30/2019,Book 24,377.08
9/3/2019,АСНА,993.83
9/8/2019,UNITED COLOR OF BENITON,913.04
9/13/2019,ELIS,2099.15
9/15/2019,OBI,2491.03
9/20/2019,ELIS,4090.57
9/26/2019,Burger King,4101.32
10/13/2019,FINN FLARE,1360.72
10/25/2019,Alpha bank,29827.45
10/25/2019,VTB,125446.22
10/29/2019,Tinkoff,108621.39
11/5/2019,Hamleys,1208.61
11/15/2019,Pizza Hat,3084.57
11/16/2019,UNITED COLOR OF BENITON,4854.69
11/18/2019,FINN FLARE,269.80
11/21/2019,12Storeez,4343.17
11/27/2019,Старая ферма,4484.64
11/27/2019,BAUSCH Health,2125.52
11/30/2019,Independent Media,2951.76
12/5/2019,Sberbank,114926.50
12/7/2019,MARKS & SPANCER,331.10
12/7/2019,Sberbank,59603.63
12/13/2019,OBI,1128.35
12/24/2019,BAUSCH Health,1362.12
1/4/2020,MARKS & SPANCER,4433.05
1/9/2020,VTB,135026.92
1/17/2020,icover,4041.92
1/18/2020,Tinkoff,76582.62
1/22/2020,GOLDPRICE,4329.36
1/27/2020,ГИПЕР АВТО,1336.25
1/28/2020,Hoff,1286.10
2/4/2020,Tinkoff,87353.62
2/9/2020,ФРАН,523.25
2/11/2020,Alpha bank,24848.03
2/11/2020,Alpha bank,1274.76
2/17/2020,Pizza Hat,2030.23
2/21/2020,Alpha bank,95299.23
2/29/2020,JULL,2024.31
3/7/2020,ОРМАТЕК,2640.86
3/9/2020,MODIS,729.67
3/14/2020,Accu-Check,741.10
3/19/2020,Panasonic,4355.21
3/31/2020,ФРАН,1109.10
4/6/2020,Panasonic,4757.38
4/19/2020,Book 24,1607.54
5/3/2020,Tinkoff,131076.23
5/18/2020,OBI,3617.45
5/24/2020,ФРАН,4110.32
5/26/2020,JULL,2157.71
5/30/2020,Panasonic,1070.78
5/31/2020,GOLDPRICE,3189.84
6/2/2020,Sberbank,68015.31
6/5/2020,OLDI,2757.03
6/13/2020,Петрович,2419.04
6/18/2020,Independent Media,1610.41
6/24/2020,GOLDPRICE,4042.18
6/24/2020,Hoff,3462.30
6/27/2020,icover,4813.28
6/30/2020,VTB,79201.38
7/3/2020,ELIS,2495.07
7/4/2020,Tinkoff,115605.57
7/21/2020,MIXIT,464.41
7/21/2020,Alpha bank,89221.64
7/25/2020,ALL WE NEED,1678.51
7/26/2020,VTB,29107.01
7/27/2020,MODIS,2704.72
7/27/2020,Book 24,2855.57
8/3/2020,Будь здоров!,438.05
8/8/2020,Петрович,3893.30
8/15/2020,Independent Media,3426.43
8/19/2020,OLDI,2787.37
8/24/2020,GOLDPRICE,1440.62
8/30/2020,Старая ферма,752.18
8/31/2020,Panasonic,2955.85
9/1/2020,Основа движения,3873.23
9/11/2020,Hamleys,1934.13
9/16/2020,ОЛАНТ,4108.68
9/26/2020,BAUSCH Health,2529.81
9/29/2020,Tinkoff,10265.62
10/3/2020,Основа движения,4560.87
10/4/2020,РИГЛА,2228.32
10/5/2020,Будь здоров!,3670.92
10/9/2020,Основа движения,1880.24
10/12/2020,Panasonic,2354.42
10/17/2020,VTB,71092.28
10/19/2020,Sberbank,40587.18
10/21/2020,VTB,47381.62
10/22/2020,АСНА,2969.15
10/25/2020,Alpha bank,18581.08
10/28/2020,VTB,101067.77
10/29/2020,VTB,70285.62
10/31/2020,BAUSCH Health,4353.51
11/15/2020,MARKS & SPANCER,914.14
11/16/2020,ФРАН,1828.61
11/17/2020,Sberbank,118250.45
11/25/2020,Будь здоров!,4483.62
11/29/2020,Основа движения,3587.23
11/30/2020,Sberbank,52495.38
12/9/2020,DodoPizza,3340.56
12/10/2020,ALL WE NEED,363.65
12/14/2020,Sberbank,68257.42
12/22/2020,icover,4277.43
12/22/2020,VTB,61427.10
