03.09.2017;GosUslugi;-324
03.09.2017;OZON;-3037
04.09.2017;Cofix;-2128
08.09.2017;DNS;-492
09.09.2017;QIWI;-2419
09.09.2017;QIWI;-3498
09.09.2017;BurgerKing;-3553
10.09.2017;Apteka;-2620
11.09.2017;QIWI;-3149
11.09.2017;JSC RZD;-345
11.09.2017;Cofix;-3014
12.09.2017;Perekrestok;-4855
14.09.2017;OOO ARMUNIS;-3248
14.09.2017;OZON;-1518
15.09.2017;CROPP;-3833
16.09.2017;Riot Games;-3456
19.09.2017;Chitai Gorod;-2425
19.09.2017;Perekrestok;-2380
20.09.2017;Chitai Gorod;-3171
20.09.2017;KFC;-4899
21.09.2017;Riot Games;-1746
21.09.2017;Tele2;-2964
23.09.2017;OOO ARMUNIS;-4038
23.09.2017;MIREA;5072
24.09.2017;HardwareStore;-3172
24.09.2017;GosUslugi;-243
25.09.2017;OOO ARMUNIS;-1946
25.09.2017;SMOKIT;-3580
29.09.2017;BurgerKing;-3449
30.09.2017;Perekrestok;-203
02.10.2017;Aksenov V.A.;4507
04.10.2017;MIREA;4407
05.10.2017;Apteka;-422
05.10.2017;MIREA;6066
07.10.2017;Apteka;-2220
10.10.2017;JSC RZD;-2058
11.10.2017;HardwareStore;-3902
12.10.2017;QIWI;-2642
12.10.2017;CROPP;-1077
13.10.2017;SMOKIT;-1740
14.10.2017;Riot Games;-2018
14.10.2017;Chitai Gorod;-3840
15.10.2017;SMOKIT;-3273
16.10.2017;OZON;-4496
16.10.2017;Aksenov V.A.;4153
17.10.2017;KFC;-409
17.10.2017;Chitai Gorod;-628
19.10.2017;OOO ARMUNIS;-1815
20.10.2017;Riot Games;-898
21.10.2017;KFC;-4994
22.10.2017;CROPP;-3639
23.10.2017;QIWI;-3963
23.10.2017;Perekrestok;-6142043;Aksenov V.A.;6485
24.10.2017;Tele2;-1762
24.10.2017;OZON;-4056
26.10.2017;Aksenov V.A.;4322
29.10.2017;BurgerKing;-1838
29.10.2017;DNS;-2132
29.10.2017;KFC;-3164
30.10.2017;MIREA;4193
31.10.2017;Tele2;-906
31.10.2017;QIWI;-2753
02.11.2017;Riot Games;-1033
03.11.2017;CROPP;-1727
03.11.2017;QIWI;-2876
04.11.2017;CROPP;-4188
05.11.2017;DNS;-369
09.11.2017;Cofix;-2342
10.11.2017;JSC RZD;-293
11.11.2017;Moscow Metro;-1440
11.11.2017;JSC RZD;-1845
12.11.2017;Riot Games;-3532
13.11.2017;KFC;-1988
13.11.2017;OZON;-739
14.11.2017;CROPP;-1895
14.11.2017;Cofix;-3974
14.11.2017;QIWI;-3211
15.11.2017;BurgerKing;-2298
15.11.2017;Aksenov V.A.;6639
16.11.2017;QIWI;-150
19.11.2017;OOO ARMUNIS;-3070
19.11.2017;MIREA;6190
20.11.2017;SMOKIT;-3013
21.11.2017;Riot Games;-1471
21.11.2017;Apteka;-3720
22.11.2017;HardwareStore;-272
25.11.2017;OOO ARMUNIS;-3192
25.11.2017;Moscow Metro;-4550
26.11.2017;Chitai Gorod;-604
26.11.2017;Cofix;-4454
26.11.2017;SMOKIT;-312
28.11.2017;KFC;-1402
28.11.2017;HardwareStore;-3114
29.11.2017;MIREA;6912
01.12.2017;Moscow Metro;-2242
02.12.2017;SMOKIT;-2359
02.12.2017;QIWI;-821
03.12.2017;Chitai Gorod;-417
05.12.2017;Apteka;-481
05.12.2017;HardwareStore;-2695
05.12.2017;SMOKIT;-4580
05.12.2017;DNS;-370
06.12.2017;MIREA;4594
07.12.2017;OZON;-332
09.12.2017;Riot Games;-3783
10.12.2017;JSC RZD;-3435
11.12.2017;QIWI;-3656
13.12.2017;QIWI;-3420
14.12.2017;CROPP;-2411
15.12.2017;Moscow Metro;-3479
16.12.2017;JSC RZD;-1765
16.12.2017;OOO ARMUNIS;-357
17.12.2017;Perekrestok;-4114
17.12.2017;MIREA;5999
18.12.2017;Riot Games;-4021
18.12.2017;Chitai Gorod;-874
19.12.2017;Aksenov V.A.;4270
19.12.2017;MIREA;4277
21.12.2017;BurgerKing;-1039
21.12.2017;CROPP;-1114
22.12.2017;GosUslugi;-2644
22.12.2017;HardwareStore;-445
23.12.2017;SMOKIT;-3292
26.12.2017;Riot Games;-1330
26.12.2017;Chitai Gorod;-4609
28.12.2017;Perekrestok;-3552
31.12.2017;KFC;-1338
01.01.2018;HardwareStore;-2619
01.01.2018;HardwareStore;-1587
02.01.2018;CROPP;-4898
04.01.2018;HardwareStore;-136
04.01.2018;Tele2;-3386
06.01.2018;Tele2;-1572
06.01.2018;Aksenov V.A.;5164
07.01.2018;HardwareStore;-4886
07.01.2018;KFC;-2886
08.01.2018;Riot Games;-1591
08.01.2018;Riot Games;-4020
11.01.2018;DNS;-1545
12.01.2018;Aksenov V.A.;4760
14.01.2018;JSC RZD;-2350
16.01.2018;OZON;-4252
16.01.2018;BurgerKing;-2292
17.01.2018;MIREA;5521
19.01.2018;BurgerKing;-1031
21.01.2018;JSC RZD;-3330
25.01.2018;SMOKIT;-2526
26.01.2018;OZON;-4463
27.01.2018;BurgerKing;-2365
27.01.2018;JSC RZD;-858
27.01.2018;KFC;-3485
27.01.2018;OZON;-4002
27.01.2018;MIREA;5895
30.01.2018;QIWI;-2165
30.01.2018;MIREA;4898
01.02.2018;KFC;-963
01.02.2018;JSC RZD;-4895
02.02.2018;DNS;-2792
03.02.2018;KFC;-343
03.02.2018;QIWI;-3332
04.02.2018;Cofix;-1200
04.02.2018;Apteka;-755
05.02.2018;Moscow Metro;-172
05.02.2018;Tele2;-127
05.02.2018;SMOKIT;-1445
05.02.2018;MIREA;4820
06.02.2018;Chitai Gorod;-661
09.02.2018;Cofix;-136
09.02.2018;OOO ARMUNIS;-1736
10.02.2018;Moscow Metro;-4942
10.02.2018;Perekrestok;-4821
10.02.2018;Aksenov V.A.;6657
11.02.2018;Apteka;-1800
13.02.2018;MIREA;6202
15.02.2018;BurgerKing;-193
15.02.2018;QIWI;-3115
15.02.2018;HardwareStore;-1753
16.02.2018;Riot Games;-1522
21.02.2018;Perekrestok;-3093
21.02.2018;HardwareStore;-4996
22.02.2018;OZON;-1375
23.02.2018;Moscow Metro;-3026
27.02.2018;Moscow Metro;-4988
27.02.2018;CROPP;-3657
28.02.2018;Moscow Metro;-3098
04.03.2018;SMOKIT;-299
05.03.2018;OZON;-1618
06.03.2018;DNS;-3944
08.03.2018;KFC;-3613
09.03.2018;SMOKIT;-1685
09.03.2018;Tele2;-1349
10.03.2018;BurgerKing;-3417
10.03.2018;OOO ARMUNIS;-3726
11.03.2018;Perekrestok;-669
13.03.2018;OZON;-1320
14.03.2018;MIREA;4760
15.03.2018;Tele2;-2509
18.03.2018;CROPP;-2443
19.03.2018;QIWI;-3519
19.03.2018;Chitai Gorod;-3623
20.03.2018;Tele2;-2885
20.03.2018;OOO ARMUNIS;-4380
21.03.2018;GosUslugi;-2980
21.03.2018;Apteka;-845
21.03.2018;MIREA;6930
23.03.2018;Perekrestok;-2305
24.03.2018;MIREA;6570
25.03.2018;Apteka;-204
26.03.2018;OOO ARMUNIS;-1539
26.03.2018;OOO ARMUNIS;-197
27.03.2018;Chitai Gorod;-310
27.03.2018;MIREA;6185
29.03.2018;Riot Games;-4446
30.03.2018;Perekrestok;-3554
30.03.2018;SMOKIT;-3797
01.04.2018;Cofix;-484
02.04.2018;OOO ARMUNIS;-4968
04.04.2018;OZON;-4641
04.04.2018;QIWI;-628
06.04.2018;JSC RZD;-2610
07.04.2018;QIWI;-3787
08.04.2018;Apteka;-4177
08.04.2018;OZON;-661
09.04.2018;Riot Games;-1452
09.04.2018;Aksenov V.A.;5238
10.04.2018;Perekrestok;-737
15.04.2018;OOO ARMUNIS;-3348
18.04.2018;DNS;-4099
19.04.2018;OZON;-519
20.04.2018;GosUslugi;-2552
20.04.2018;SMOKIT;-318
23.04.2018;Tele2;-2352
27.04.2018;Tele2;-1170
27.04.2018;OOO ARMUNIS;-3182
28.04.2018;GosUslugi;-763
29.04.2018;Apteka;-1357
30.04.2018;KFC;-4917
30.04.2018;Riot Games;-3687
02.05.2018;JSC RZD;-4054
04.05.2018;Cofix;-2649
04.05.2018;Moscow Metro;-766
05.05.2018;Aksenov V.A.;5778
06.05.2018;Apteka;-1472
08.05.2018;QIWI;-2195
09.05.2018;BurgerKing;-2142
09.05.2018;Chitai Gorod;-3942
09.05.2018;Aksenov V.A.;6034
10.05.2018;KFC;-4710
11.05.2018;Tele2;-1139
14.05.2018;Aksenov V.A.;5916
15.05.2018;OZON;-4805
16.05.2018;Moscow Metro;-3748
17.05.2018;Moscow Metro;-207
18.05.2018;HardwareStore;-2967
19.05.2018;OZON;-1616
19.05.2018;Apteka;-3207
20.05.2018;Riot Games;-2460
21.05.2018;KFC;-1787
22.05.2018;Tele2;-3156
23.05.2018;QIWI;-4906
26.05.2018;Chitai Gorod;-3422
26.05.2018;CROPP;-3546
27.05.2018;Perekrestok;-3816
